Provider,TotalClaims,UniqueBeneficiaries,UniquePhysicians,InscClaimAmtReimbursed_sum,InscClaimAmtReimbursed_mean,InscClaimAmtReimbursed_std,DeductibleAmtPaid_sum,DeductibleAmtPaid_mean,NoOfMonths_PartACov_mean,NoOfMonths_PartBCov_mean,IPAnnualReimbursementAmt_mean,OPAnnualReimbursementAmt_mean,ChronicCond_Alzheimer_mean,ChronicCond_Heartfailure_mean,ChronicCond_KidneyDisease_mean,ChronicCond_Cancer_mean,ChronicCond_ObstrPulmonary_mean,ChronicCond_Depression_mean,ChronicCond_Diabetes_mean,ChronicCond_IschemicHeart_mean,ChronicCond_Osteoporasis_mean,ChronicCond_rheumatoidarthritis_mean,ChronicCond_stroke_mean,RenalDiseaseIndicator_mean,PotentialFraud,PotentialFraud_Encoded
PRV51015,8,7,3,700,87.5,74.01737247816507,0.0,0.0,12.0,12.0,1186.25,1445.0,0.5,0.875,0.5,0.375,0.5,0.875,1.0,0.875,0.375,0.375,0.125,0.375,No,0
PRV51016,6,6,3,170,28.333333333333332,37.638632635454044,0.0,0.0,12.0,12.0,0.0,878.3333333333334,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.5,0.16666666666666666,0.16666666666666666,No,0
PRV51017,515,420,113,142720,277.126213592233,570.1818038894332,1050.0,2.0388349514563107,11.895145631067962,11.966990291262135,3322.7184466019417,2370.990291262136,0.41941747572815535,0.570873786407767,0.4174757281553398,0.11262135922330097,0.3087378640776699,0.4077669902912621,0.6815533980582524,0.7495145631067961,0.3572815533980582,0.24854368932038834,0.0912621359223301,0.1650485436893204,No,0
PRV51021,257,208,69,348830,1357.3151750972763,4462.486890505436,31492.0,122.53696498054475,11.95330739299611,11.914396887159533,4886.964980544747,2695.0972762645915,0.3657587548638132,0.5642023346303502,0.47470817120622566,0.23346303501945526,0.40077821011673154,0.45136186770428016,0.754863813229572,0.7626459143968871,0.2723735408560311,0.33073929961089493,0.10505836575875487,0.22178988326848248,Yes,1
PRV51023,36,35,14,65610,1822.5,3084.6980634832225,8624.0,246.4,12.0,12.0,5320.277777777777,2475.5555555555557,0.4444444444444444,0.5833333333333334,0.4444444444444444,0.1388888888888889,0.2777777777777778,0.4444444444444444,0.5833333333333334,0.8333333333333334,0.25,0.2222222222222222,0.1388888888888889,0.2777777777777778,No,0
PRV51024,39,38,13,64050,1642.3076923076924,3334.4891990563538,9702.0,248.76923076923077,12.0,12.0,4566.666666666667,1973.076923076923,0.38461538461538464,0.5384615384615384,0.5897435897435898,0.1282051282051282,0.358974358974359,0.41025641025641024,0.7692307692307693,0.7435897435897436,0.28205128205128205,0.358974358974359,0.15384615384615385,0.3076923076923077,No,0
PRV51025,87,76,35,118350,1360.344827586207,3052.031899721988,14284.0,164.183908045977,12.0,12.0,4823.563218390805,2288.9655172413795,0.3218390804597701,0.5402298850574713,0.45977011494252873,0.14942528735632185,0.3218390804597701,0.47126436781609193,0.735632183908046,0.7126436781609196,0.3563218390804598,0.2988505747126437,0.06896551724137931,0.21839080459770116,No,0
PRV51026,76,56,29,19840,261.05263157894734,668.7831316600191,340.0,4.473684210526316,11.68421052631579,12.0,3971.0526315789475,1811.578947368421,0.39473684210526316,0.4342105263157895,0.39473684210526316,0.14473684210526316,0.19736842105263158,0.5131578947368421,0.7368421052631579,0.6578947368421053,0.2236842105263158,0.3026315789473684,0.07894736842105263,0.15789473684210525,No,0
PRV51027,53,44,10,29840,563.0188679245283,1044.0446219937528,0.0,0.0,11.773584905660377,11.962264150943396,6231.132075471698,3564.5283018867926,0.4339622641509434,0.6792452830188679,0.5094339622641509,0.16981132075471697,0.3018867924528302,0.5660377358490566,0.7735849056603774,0.8113207547169812,0.18867924528301888,0.24528301886792453,0.1509433962264151,0.3018867924528302,No,0
PRV51029,93,79,38,30660,329.6774193548387,618.3119580109661,160.0,1.7204301075268817,11.741935483870968,11.978494623655914,3849.032258064516,1660.967741935484,0.34408602150537637,0.4838709677419355,0.3548387096774194,0.0967741935483871,0.3118279569892473,0.3225806451612903,0.6666666666666666,0.7096774193548387,0.1827956989247312,0.3010752688172043,0.13978494623655913,0.13978494623655913,No,0
PRV51030,171,145,46,739760,4326.081871345029,6972.1108605702175,86748.0,510.2823529411765,11.859649122807017,11.719298245614034,7453.333333333333,2499.1812865497077,0.4269005847953216,0.6491228070175439,0.47368421052631576,0.17543859649122806,0.38011695906432746,0.4444444444444444,0.7309941520467836,0.8070175438596491,0.2807017543859649,0.34502923976608185,0.07602339181286549,0.27485380116959063,No,0
PRV51031,185,157,60,359720,1944.4324324324325,6540.990221125198,30244.0,163.48108108108107,11.935135135135136,11.972972972972974,6142.648648648648,1868.0,0.4864864864864865,0.6918918918918919,0.4810810810810811,0.10270270270270271,0.3837837837837838,0.43783783783783786,0.7027027027027027,0.8162162162162162,0.4594594594594595,0.2918918918918919,0.10270270270270271,0.21081081081081082,No,0
PRV51032,23,21,10,5420,235.65217391304347,596.2063865273236,50.0,2.1739130434782608,11.478260869565217,12.0,8186.086956521739,1402.608695652174,0.391304347826087,0.6521739130434783,0.43478260869565216,0.21739130434782608,0.34782608695652173,0.4782608695652174,0.6956521739130435,0.6956521739130435,0.17391304347826086,0.21739130434782608,0.13043478260869565,0.13043478260869565,No,0
PRV51035,30,25,18,32560,1085.3333333333333,5274.670594933628,1428.0,47.6,12.0,11.7,3605.3333333333335,1332.0,0.26666666666666666,0.6,0.6,0.13333333333333333,0.36666666666666664,0.6,0.7333333333333333,0.8,0.3333333333333333,0.23333333333333334,0.26666666666666666,0.26666666666666666,No,0
PRV51036,278,131,5,74880,269.3525179856115,579.1512632739048,1410.0,5.071942446043166,11.863309352517986,11.43525179856115,5654.3165467625895,2070.5755395683454,0.35611510791366907,0.5719424460431655,0.3920863309352518,0.11151079136690648,0.34172661870503596,0.4748201438848921,0.7230215827338129,0.7230215827338129,0.34172661870503596,0.2949640287769784,0.0683453237410072,0.15827338129496402,No,0
PRV51037,454,206,3,342230,753.8105726872246,2427.046146481494,25524.0,56.220264317180614,11.973568281938325,11.931718061674008,3989.911894273128,2154.0308370044054,0.42951541850220265,0.5969162995594713,0.3986784140969163,0.2290748898678414,0.34140969162995594,0.45154185022026433,0.6850220264317181,0.7995594713656388,0.3700440528634361,0.2907488986784141,0.06387665198237885,0.14537444933920704,Yes,1
PRV51038,141,107,44,265490,1882.9078014184397,3612.4397254501177,31192.0,222.8,11.914893617021276,11.936170212765957,4961.276595744681,2191.1347517730496,0.49645390070921985,0.624113475177305,0.46099290780141844,0.19148936170212766,0.3049645390070922,0.44680851063829785,0.7730496453900709,0.7943262411347518,0.3262411347517731,0.3262411347517731,0.09929078014184398,0.22695035460992907,No,0
PRV51040,86,69,15,74470,865.9302325581396,3171.5249172846784,8784.0,103.34117647058824,11.790697674418604,12.0,7919.53488372093,2433.0232558139537,0.4069767441860465,0.627906976744186,0.38372093023255816,0.08139534883720931,0.29069767441860467,0.47674418604651164,0.7325581395348837,0.7674418604651163,0.2441860465116279,0.23255813953488372,0.12790697674418605,0.1511627906976744,No,0
PRV51041,34,31,9,7410,217.94117647058823,562.4232171797465,270.0,7.9411764705882355,12.0,12.0,1373.5294117647059,2287.6470588235293,0.47058823529411764,0.5,0.20588235294117646,0.29411764705882354,0.29411764705882354,0.4411764705882353,0.6470588235294118,0.7058823529411765,0.20588235294117646,0.2647058823529412,0.058823529411764705,0.08823529411764706,No,0
PRV51042,142,128,52,48050,338.38028169014086,625.7915694564421,310.0,2.183098591549296,12.0,11.830985915492958,4791.478873239436,2390.4225352112676,0.352112676056338,0.5211267605633803,0.4084507042253521,0.14084507042253522,0.2887323943661972,0.39436619718309857,0.6126760563380281,0.7605633802816901,0.2323943661971831,0.2676056338028169,0.09154929577464789,0.15492957746478872,No,0
PRV51043,23,20,6,4480,194.7826086956522,297.6402582315741,0.0,0.0,12.0,12.0,3136.9565217391305,1605.2173913043478,0.34782608695652173,0.6956521739130435,0.30434782608695654,0.13043478260869565,0.34782608695652173,0.391304347826087,0.782608695652174,0.6521739130434783,0.391304347826087,0.21739130434782608,0.0,0.043478260869565216,No,0
PRV51044,59,39,1,21330,361.52542372881356,633.149798583193,130.0,2.2033898305084745,12.0,12.0,3621.6949152542375,2770.508474576271,0.3728813559322034,0.576271186440678,0.5084745762711864,0.11864406779661017,0.3220338983050847,0.3728813559322034,0.5932203389830508,0.847457627118644,0.3728813559322034,0.3559322033898305,0.06779661016949153,0.13559322033898305,No,0
PRV51045,31,29,16,8390,270.64516129032256,602.7212483609703,40.0,1.2903225806451613,12.0,12.0,3838.3870967741937,1972.9032258064517,0.5161290322580645,0.5483870967741935,0.4838709677419355,0.0967741935483871,0.4838709677419355,0.41935483870967744,0.7419354838709677,0.7419354838709677,0.1935483870967742,0.1935483870967742,0.06451612903225806,0.1935483870967742,No,0
PRV51046,38,26,6,109370,2878.157894736842,7053.672555125875,8644.0,227.47368421052633,11.68421052631579,11.68421052631579,5885.789473684211,2156.5789473684213,0.3684210526315789,0.5526315789473685,0.3157894736842105,0.34210526315789475,0.39473684210526316,0.47368421052631576,0.8157894736842105,0.9210526315789473,0.39473684210526316,0.4473684210526316,0.07894736842105263,0.10526315789473684,No,0
PRV51047,11,11,10,2530,230.0,371.80640123591206,0.0,0.0,12.0,12.0,4106.363636363636,1662.7272727272727,0.2727272727272727,0.5454545454545454,0.36363636363636365,0.0,0.36363636363636365,0.36363636363636365,0.6363636363636364,0.6363636363636364,0.2727272727272727,0.36363636363636365,0.09090909090909091,0.0,No,0
PRV51048,38,33,15,27700,728.9473684210526,1574.7102512949575,4352.0,114.52631578947368,11.68421052631579,12.0,4223.684210526316,2144.4736842105262,0.5789473684210527,0.5789473684210527,0.3684210526315789,0.13157894736842105,0.34210526315789475,0.5263157894736842,0.8421052631578947,0.8157894736842105,0.21052631578947367,0.5,0.02631578947368421,0.10526315789473684,No,0
PRV51049,71,65,35,21720,305.9154929577465,644.0465321804644,190.0,2.676056338028169,11.661971830985916,11.830985915492958,2363.6619718309857,3230.9859154929577,0.4647887323943662,0.6338028169014085,0.4225352112676056,0.18309859154929578,0.4788732394366197,0.4647887323943662,0.6901408450704225,0.6197183098591549,0.30985915492957744,0.29577464788732394,0.09859154929577464,0.23943661971830985,No,0
PRV51052,46,37,17,30800,669.5652173913044,1588.238656180332,2346.0,51.0,11.73913043478261,12.0,2940.4347826086955,2126.7391304347825,0.32608695652173914,0.6304347826086957,0.391304347826087,0.13043478260869565,0.2608695652173913,0.41304347826086957,0.5869565217391305,0.6956521739130435,0.32608695652173914,0.2826086956521739,0.10869565217391304,0.1956521739130435,Yes,1
PRV51053,1,1,1,8000,8000.0,,1068.0,1068.0,12.0,12.0,8000.0,90.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,No,0
PRV51054,57,40,3,15130,265.43859649122805,417.09056131834507,140.0,2.456140350877193,11.789473684210526,11.947368421052632,2494.7368421052633,2455.964912280702,0.3684210526315789,0.49122807017543857,0.43859649122807015,0.03508771929824561,0.3508771929824561,0.42105263157894735,0.5087719298245614,0.5087719298245614,0.10526315789473684,0.12280701754385964,0.10526315789473684,0.15789473684210525,No,0
PRV51055,22,22,6,21640,983.6363636363636,3395.7838641391845,2206.0,100.27272727272727,12.0,12.0,5162.272727272727,1344.090909090909,0.45454545454545453,0.6818181818181818,0.36363636363636365,0.18181818181818182,0.36363636363636365,0.5909090909090909,0.5,0.7727272727272727,0.3181818181818182,0.3181818181818182,0.13636363636363635,0.22727272727272727,No,0
PRV51056,22,21,5,14700,668.1818181818181,1288.2385033674632,2146.0,97.54545454545455,12.0,12.0,6709.545454545455,3560.4545454545455,0.45454545454545453,0.5909090909090909,0.6818181818181818,0.22727272727272727,0.2727272727272727,0.5454545454545454,0.9090909090909091,0.8181818181818182,0.5454545454545454,0.2727272727272727,0.22727272727272727,0.3181818181818182,No,0
PRV51057,5,4,1,6830,1366.0,1273.8838251583227,0.0,0.0,12.0,12.0,12000.0,3138.0,0.0,0.8,0.2,0.4,0.2,0.0,0.2,1.0,0.0,0.4,0.0,0.0,No,0
PRV51058,83,75,31,107030,1289.5180722891566,6524.930595577891,5540.0,66.74698795180723,12.0,12.0,5430.240963855422,2156.144578313253,0.37349397590361444,0.5301204819277109,0.40963855421686746,0.10843373493975904,0.27710843373493976,0.4819277108433735,0.7469879518072289,0.7951807228915663,0.37349397590361444,0.3132530120481928,0.10843373493975904,0.1686746987951807,No,0
PRV51059,96,82,30,421060,4386.041666666667,10846.377176314554,26940.0,280.625,11.5,11.635416666666666,11978.854166666666,2192.0833333333335,0.3229166666666667,0.6458333333333334,0.3958333333333333,0.15625,0.3020833333333333,0.3854166666666667,0.6458333333333334,0.6875,0.2916666666666667,0.2708333333333333,0.10416666666666667,0.1875,Yes,1
PRV51060,42,42,28,43710,1040.7142857142858,2605.1781389932817,5340.0,127.14285714285714,11.428571428571429,11.785714285714286,3784.285714285714,1463.5714285714287,0.38095238095238093,0.5952380952380952,0.4523809523809524,0.14285714285714285,0.38095238095238093,0.47619047619047616,0.7857142857142857,0.7142857142857143,0.19047619047619047,0.30952380952380953,0.09523809523809523,0.19047619047619047,No,0
PRV51061,145,67,6,54940,378.8965517241379,846.8914705174736,1328.0,9.158620689655173,11.972413793103449,12.0,4060.0,3303.3793103448274,0.2482758620689655,0.42758620689655175,0.4,0.14482758620689656,0.2689655172413793,0.46206896551724136,0.7241379310344828,0.7172413793103448,0.3310344827586207,0.25517241379310346,0.08275862068965517,0.20689655172413793,No,0
PRV51062,397,166,6,153380,386.3476070528967,1582.0120515942547,3944.0,9.934508816120907,11.909319899244332,11.851385390428211,7072.493702770781,2619.5465994962215,0.44080604534005036,0.6070528967254408,0.47858942065491183,0.1712846347607053,0.3022670025188917,0.5138539042821159,0.743073047858942,0.7128463476070529,0.3853904282115869,0.25440806045340053,0.12846347607052896,0.2695214105793451,No,0
PRV51063,149,115,3,51110,343.02013422818794,649.1935794860635,160.0,1.0738255033557047,11.838926174496644,12.0,4218.993288590604,3000.4026845637586,0.4228187919463087,0.610738255033557,0.4563758389261745,0.12751677852348994,0.2953020134228188,0.436241610738255,0.7046979865771812,0.7785234899328859,0.2550335570469799,0.2751677852348993,0.10738255033557047,0.2348993288590604,No,0
PRV51064,303,227,111,360320,1189.1749174917493,3480.8675241896503,38948.0,128.54125412541254,11.881188118811881,11.943894389438944,4816.732673267326,2739.1419141914193,0.36303630363036304,0.6303630363036303,0.45874587458745875,0.12871287128712872,0.35313531353135313,0.47854785478547857,0.7293729372937293,0.7887788778877888,0.3333333333333333,0.30363036303630364,0.1353135313531353,0.2079207920792079,Yes,1
PRV51065,28,26,9,76570,2734.6428571428573,3990.1819155994285,9722.0,360.0740740740741,11.571428571428571,12.0,5653.214285714285,1754.2857142857142,0.42857142857142855,0.6785714285714286,0.35714285714285715,0.03571428571428571,0.32142857142857145,0.5714285714285714,0.7142857142857143,0.8214285714285714,0.21428571428571427,0.17857142857142858,0.25,0.10714285714285714,No,0
PRV51066,24,21,7,24790,1032.9166666666667,3108.2911272730003,2236.0,93.16666666666667,12.0,12.0,5000.0,1150.0,0.5,0.5833333333333334,0.2916666666666667,0.08333333333333333,0.25,0.2916666666666667,0.5416666666666666,0.7083333333333334,0.2916666666666667,0.25,0.08333333333333333,0.16666666666666666,No,0
PRV51067,58,49,21,334520,5767.586206896552,15030.416215635716,13096.0,225.79310344827587,11.586206896551724,11.568965517241379,12108.965517241379,1909.655172413793,0.29310344827586204,0.6379310344827587,0.43103448275862066,0.20689655172413793,0.2413793103448276,0.5689655172413793,0.7068965517241379,0.7413793103448276,0.3620689655172414,0.25862068965517243,0.05172413793103448,0.22413793103448276,Yes,1
PRV51068,261,214,79,143260,548.8888888888889,1833.7386964443992,8984.0,34.55384615384615,11.954022988505747,11.908045977011493,2822.4137931034484,1907.9310344827586,0.3793103448275862,0.5747126436781609,0.38697318007662834,0.14942528735632185,0.27586206896551724,0.40229885057471265,0.7126436781609196,0.6973180076628352,0.2988505747126437,0.29118773946360155,0.11877394636015326,0.13026819923371646,No,0
PRV51070,99,69,46,125410,1266.7676767676767,3525.2155320655197,10980.0,110.9090909090909,11.878787878787879,12.0,5531.313131313132,2945.050505050505,0.29292929292929293,0.5454545454545454,0.36363636363636365,0.1717171717171717,0.23232323232323232,0.3838383838383838,0.7070707070707071,0.7474747474747475,0.24242424242424243,0.16161616161616163,0.12121212121212122,0.18181818181818182,No,0
PRV51071,24,24,11,8550,356.25,728.391990142909,50.0,2.0833333333333335,11.5,11.541666666666666,4195.833333333333,2279.1666666666665,0.5,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.375,0.5833333333333334,0.75,0.875,0.4166666666666667,0.20833333333333334,0.16666666666666666,0.041666666666666664,No,0
PRV51072,212,160,47,119170,562.122641509434,1647.668962074742,12178.0,57.71563981042654,11.943396226415095,11.900943396226415,4227.924528301887,2049.622641509434,0.3584905660377358,0.5566037735849056,0.44339622641509435,0.1179245283018868,0.35377358490566035,0.3490566037735849,0.7405660377358491,0.7547169811320755,0.3443396226415094,0.330188679245283,0.08490566037735849,0.1650943396226415,No,0
PRV51074,39,39,14,41170,1055.6410256410256,2662.095331117354,5420.0,138.97435897435898,12.0,11.692307692307692,5348.717948717948,1971.7948717948718,0.38461538461538464,0.5897435897435898,0.46153846153846156,0.15384615384615385,0.3333333333333333,0.46153846153846156,0.717948717948718,0.8717948717948718,0.358974358974359,0.2564102564102564,0.02564102564102564,0.1282051282051282,No,0
PRV51075,17,13,4,8550,502.94117647058823,765.4881180159032,70.0,4.117647058823529,11.294117647058824,11.294117647058824,2450.0,2908.823529411765,0.17647058823529413,0.35294117647058826,0.23529411764705882,0.4117647058823529,0.23529411764705882,0.5882352941176471,0.8235294117647058,0.9411764705882353,0.17647058823529413,0.47058823529411764,0.058823529411764705,0.11764705882352941,No,0
PRV51076,29,27,8,10230,352.7586206896552,853.5467873682151,50.0,1.7241379310344827,11.586206896551724,11.793103448275861,4734.137931034483,2123.448275862069,0.4482758620689655,0.5862068965517241,0.41379310344827586,0.27586206896551724,0.1724137931034483,0.3793103448275862,0.7586206896551724,0.896551724137931,0.3103448275862069,0.3793103448275862,0.13793103448275862,0.20689655172413793,No,0
PRV51077,33,30,11,204350,6192.424242424242,11146.270685273796,16220.0,506.875,12.0,11.969696969696969,9130.30303030303,2504.5454545454545,0.48484848484848486,0.7272727272727273,0.6060606060606061,0.15151515151515152,0.36363636363636365,0.6363636363636364,0.8484848484848485,0.8787878787878788,0.48484848484848486,0.3939393939393939,0.12121212121212122,0.30303030303030304,Yes,1
PRV51078,23,23,13,78270,3403.0434782608695,5039.106553910135,8644.0,392.90909090909093,12.0,12.0,4907.391304347826,952.6086956521739,0.30434782608695654,0.6086956521739131,0.30434782608695654,0.13043478260869565,0.34782608695652173,0.43478260869565216,0.6956521739130435,0.6956521739130435,0.30434782608695654,0.21739130434782608,0.17391304347826086,0.17391304347826086,No,0
PRV51081,200,131,3,124080,620.4,3552.83973617651,7168.0,35.84,11.76,11.755,4745.05,2594.9,0.48,0.64,0.52,0.085,0.27,0.435,0.67,0.82,0.285,0.275,0.135,0.255,No,0
PRV51082,34,31,9,5470,160.88235294117646,237.41496272903532,70.0,2.0588235294117645,12.0,12.0,6767.058823529412,5270.882352941177,0.4117647058823529,0.4411764705882353,0.38235294117647056,0.058823529411764705,0.17647058823529413,0.35294117647058826,0.8529411764705882,0.6470588235294118,0.23529411764705882,0.20588235294117646,0.08823529411764706,0.20588235294117646,No,0
PRV51083,90,81,18,18100,201.11111111111111,512.3210993741329,140.0,1.5555555555555556,11.8,11.866666666666667,4015.8888888888887,2090.0,0.4111111111111111,0.6111111111111112,0.4777777777777778,0.14444444444444443,0.3111111111111111,0.5222222222222223,0.7222222222222222,0.8111111111111111,0.3333333333333333,0.25555555555555554,0.1111111111111111,0.14444444444444443,No,0
PRV51084,110,85,32,215580,1959.8181818181818,5957.252765923029,21890.0,199.0,12.0,11.945454545454545,5070.0,1378.0,0.4636363636363636,0.5909090909090909,0.38181818181818183,0.08181818181818182,0.2636363636363636,0.34545454545454546,0.7909090909090909,0.7454545454545455,0.2545454545454545,0.39090909090909093,0.12727272727272726,0.09090909090909091,Yes,1
PRV51086,139,115,24,446170,3209.856115107914,8080.497185307093,33168.0,238.61870503597123,12.0,11.971223021582734,6954.3165467625895,2327.1942446043167,0.33093525179856115,0.5683453237410072,0.4748201438848921,0.1510791366906475,0.3381294964028777,0.45323741007194246,0.7194244604316546,0.7841726618705036,0.2446043165467626,0.2805755395683453,0.07194244604316546,0.22302158273381295,No,0
PRV51089,228,197,72,230900,1012.719298245614,3851.611890980826,18696.0,82.36123348017621,11.868421052631579,11.947368421052632,6256.798245614035,2025.482456140351,0.33771929824561403,0.5657894736842105,0.4517543859649123,0.14473684210526316,0.2982456140350877,0.4473684210526316,0.6666666666666666,0.7412280701754386,0.34649122807017546,0.2850877192982456,0.10526315789473684,0.2324561403508772,No,0
PRV51090,7,7,3,5830,832.8571428571429,1303.798479900355,60.0,8.571428571428571,12.0,12.0,714.2857142857143,2831.4285714285716,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.8571428571428571,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.0,0.0,No,0
PRV51091,44,44,19,9270,210.6818181818182,451.69138325658287,80.0,1.8181818181818181,11.727272727272727,11.795454545454545,7451.363636363636,2429.090909090909,0.2727272727272727,0.6590909090909091,0.3181818181818182,0.11363636363636363,0.3409090909090909,0.5454545454545454,0.6590909090909091,0.8181818181818182,0.2727272727272727,0.36363636363636365,0.13636363636363635,0.11363636363636363,No,0
PRV51093,9,9,6,13710,1523.3333333333333,3616.559138186461,2136.0,237.33333333333334,12.0,12.0,4688.888888888889,900.0,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.6666666666666666,0.8888888888888888,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.1111111111111111,No,0
PRV51096,5,5,3,3200,640.0,826.4381404557754,100.0,20.0,12.0,12.0,4800.0,3372.0,0.6,0.8,0.6,0.0,0.2,0.6,0.8,0.6,0.4,0.2,0.0,0.4,No,0
PRV51097,125,71,1,44420,355.36,751.1727862740433,230.0,1.84,11.904,11.96,3302.88,3009.44,0.376,0.408,0.336,0.144,0.272,0.328,0.72,0.76,0.312,0.192,0.072,0.224,No,0
PRV51098,4,4,2,300,75.0,85.04900548115383,0.0,0.0,12.0,9.75,15500.0,2297.5,0.0,1.0,0.5,0.25,0.5,0.5,1.0,1.0,0.25,0.75,0.25,0.5,No,0
PRV51100,5,5,3,78000,15600.0,11436.782764396638,5340.0,1068.0,12.0,12.0,15738.0,742.0,0.2,0.8,0.4,0.0,0.2,0.2,0.6,0.8,0.0,0.4,0.0,0.2,No,0
PRV51101,3,3,1,16600,5533.333333333333,6576.726642740547,3204.0,1068.0,12.0,12.0,9200.0,173.33333333333334,0.6666666666666666,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,No,0
